name,email,year,month,day
Katharine Berry,afzqtsl@gmail.com,1986,11,15
Clarence Harris,fojxvkw@gmail.com,1991,3,24
Dennis Hart,dbzpkqt@gmail.com,1999,10,2
Minnie Ellis,blwqzne@gmail.com,1984,4,25
Myrtle Thompson,mvzqksg@gmail.com,1988,9,5
Gary Smith,lqyfmsj@gmail.com,1972,9,17
Lena Morris,bvpxkam@gmail.com,1994,7,30
Mildred Turner,emxgqbd@gmail.com,1985,10,12
William Jackson,veqynco@gmail.com,1998,7,18
Linnie Grimes,yhcvzaf@gmail.com,1987,7,10
Della Owens,osvykpt@gmail.com,1975,1,6
Dorothy White,awqjygl@gmail.com,1981,8,10
Harriet Thompson,irwzehm@gmail.com,1975,1,24
Mary Bates,dtjxvls@gmail.com,1975,11,17
Eugene Brown,zojxwmc@gmail.com,1995,7,14
Ella Mccoy,mtqibls@gmail.com,1989,11,18
Everett Stroud,byakrgy@gmail.com,1993,1,16
Mae Cox,xkamzdu@gmail.com,1990,5,28
Josephine Anderson,qlfzvoh@gmail.com,1978,7,9
Margaret Moore,wmzgkfh@gmail.com,1991,11,20
